meta_epoch,task_model_epoch_1_support_loss,task_model_epoch_1_support_loss_d,task_model_epoch_1_support_loss_s,task_model_epoch_1_task_learning_rate,task_model_epoch_2_support_loss,task_model_epoch_2_support_loss_d,task_model_epoch_2_support_loss_s,task_model_epoch_2_task_learning_rate,task_model_epoch_3_support_loss,task_model_epoch_3_support_loss_d,task_model_epoch_3_support_loss_s,task_model_epoch_3_task_learning_rate,task_model_epoch_4_support_loss,task_model_epoch_4_support_loss_d,task_model_epoch_4_support_loss_s,task_model_epoch_4_task_learning_rate,task_model_epoch_5_support_loss,task_model_epoch_5_support_loss_d,task_model_epoch_5_support_loss_s,task_model_epoch_5_task_learning_rate,meta_model_validation_f1_score_percent,meta_model_validation_loss,meta_model_validation_loss_d,meta_model_validation_loss_s
1,7.096506595611572,1.849575400352478,5.246931076049805,0.001,7.091670513153076,1.8449188470840454,5.24675178527832,0.0009045084971874737,7.087368011474609,1.8409459590911865,5.246422290802002,0.0006545084971874737,7.084403038024902,1.8381348848342896,5.246268272399902,0.00034549150281252633,7.082814693450928,1.8366619348526,5.246152877807617,9.549150281252633e-05,3.2074038613742086,7.091052055358887,1.8440234661102295,5.247028350830078
2,7.090727806091309,1.8440234661102295,5.246704578399658,0.001,7.086209297180176,1.839621901512146,5.24658727645874,0.0009045084971874737,7.082208633422852,1.8357986211776733,5.246409893035889,0.0006545084971874737,7.079671859741211,1.833105206489563,5.2465667724609375,0.00034549150281252633,7.077993392944336,1.8316680192947388,5.246325492858887,9.549150281252633e-05,2.6401582202296345,7.085777759552002,1.838752269744873,5.247025489807129
3,7.085529804229736,1.838752269744873,5.246777534484863,0.001,7.081072807312012,1.8345520496368408,5.246520519256592,0.0009045084971874737,7.076977252960205,1.8308758735656738,5.246101379394531,0.0006545084971874737,7.074226379394531,1.8282368183135986,5.2459893226623535,0.00034549150281252633,7.072902679443359,1.826818585395813,5.246084213256836,9.549150281252633e-05,2.219224981939242,7.080651760101318,1.833624243736267,5.247027397155762
4,7.080191612243652,1.833624243736267,5.246567249298096,0.001,7.0763092041015625,1.8297325372695923,5.24657678604126,0.0009045084971874737,7.072485446929932,1.8260841369628906,5.246401309967041,0.0006545084971874737,7.069710731506348,1.8234013319015503,5.246309280395508,0.00034549150281252633,7.068352699279785,1.8219947814941406,5.2463579177856445,9.549150281252633e-05,2.4575983657224736,7.075683116912842,1.8286579847335815,5.247025012969971
5,7.075218200683594,1.8286579847335815,5.246560096740723,0.001,7.0714030265808105,1.8250662088394165,5.246336936950684,0.0009045084971874737,7.06785249710083,1.821499228477478,5.2463531494140625,0.0006545084971874737,7.065276622772217,1.8189126253128052,5.246364116668701,0.00034549150281252633,7.06382942199707,1.8175203800201416,5.24630880355835,9.549150281252633e-05,2.351299139764144,7.070882797241211,1.823853611946106,5.2470293045043945
6,7.070461750030518,1.823853611946106,5.246608257293701,0.001,7.066509246826172,1.8203880786895752,5.246121406555176,0.0009045084971874737,7.063039302825928,1.8169468641281128,5.246092319488525,0.0006545084971874737,7.060465335845947,1.8144139051437378,5.24605131149292,0.00034549150281252633,7.0590620040893555,1.8130383491516113,5.246023654937744,9.549150281252633e-05,2.2945630861750077,7.066182613372803,1.8191531896591187,5.2470293045043945
7,7.0657572746276855,1.8191531896591187,5.246603965759277,0.001,7.062313079833984,1.815886378288269,5.246426582336426,0.0009045084971874737,7.058495998382568,1.8124085664749146,5.246087551116943,0.0006545084971874737,7.05591344833374,1.8098849058151245,5.246028423309326,0.00034549150281252633,7.054587364196777,1.808506727218628,5.24608039855957,9.549150281252633e-05,2.741850206436651,7.061590194702148,1.8145601749420166,5.247030258178711
8,7.061126708984375,1.8145601749420166,5.246566295623779,0.001,7.057441711425781,1.8112995624542236,5.246142387390137,0.0009045084971874737,7.054141998291016,1.8078851699829102,5.2462568283081055,0.0006545084971874737,7.051620960235596,1.8053526878356934,5.246268272399902,0.00034549150281252633,7.050204277038574,1.8040213584899902,5.246182918548584,9.549150281252633e-05,2.331673669239066,7.0570244789123535,1.8099969625473022,5.247027397155762
9,7.05649471282959,1.8099969625473022,5.246497631072998,0.001,7.053285598754883,1.8069400787353516,5.246345520019531,0.0009045084971874737,7.050034523010254,1.803625226020813,5.2464094161987305,0.0006545084971874737,7.047253608703613,1.8011510372161865,5.246102333068848,0.00034549150281252633,7.045950412750244,1.799805998802185,5.2461442947387695,9.549150281252633e-05,2.5299159572686336,7.052596092224121,1.8055706024169922,5.247025489807129
10,7.0520758628845215,1.8055706024169922,5.246505260467529,0.001,7.048848628997803,1.8025192022323608,5.246329307556152,0.0009045084971874737,7.045425891876221,1.79924738407135,5.24617862701416,0.0006545084971874737,7.042906761169434,1.796762466430664,5.2461442947387695,0.00034549150281252633,7.0414814949035645,1.7954188585281372,5.246062755584717,9.549150281252633e-05,2.317685259511946,7.048167705535889,1.8011425733566284,5.247025012969971
